,ds,y
225943,2010-02-05,51295.23
225944,2010-02-12,44063.81
225945,2010-02-19,43278.5
225946,2010-02-26,45953.18
225947,2010-03-05,49416.21
225948,2010-03-12,43538.94
225949,2010-03-19,40764.8
225950,2010-03-26,43243.79
225951,2010-04-02,44928.05
225952,2010-04-09,38229.72
225953,2010-04-16,43106.67
225954,2010-04-23,42204.8
225955,2010-04-30,39558.52
225956,2010-05-07,46712.12
225957,2010-05-14,43963.32
225958,2010-05-21,40876.68
225959,2010-05-28,44272.69
225960,2010-06-04,48665.55
225961,2010-06-11,47785.49
225962,2010-06-18,46527.78
225963,2010-06-25,42416.59
225964,2010-07-02,51323.74
225965,2010-07-09,38305.3
225966,2010-07-16,43426.77
225967,2010-07-23,42978.88
225968,2010-07-30,42509.92
225969,2010-08-06,46839.09
225970,2010-08-13,41831.12
225971,2010-08-20,43173.52
225972,2010-08-27,47506.75
225973,2010-09-03,51956.25
225974,2010-09-10,47007.87
225975,2010-09-17,37903.77
225976,2010-09-24,34310.5
225977,2010-10-01,36266.14
225978,2010-10-08,39151.33
225979,2010-10-15,38040.76
225980,2010-10-22,36705.95
225981,2010-10-29,33516.41
225982,2010-11-05,51079.28
225983,2010-11-12,70974.75
225984,2010-11-19,68667.98
225985,2010-11-26,64466.4
225986,2010-12-03,65820.93
225987,2010-12-10,71007.73
225988,2010-12-17,73934.92
225989,2010-12-24,78010.41
225990,2010-12-31,48939.2
225991,2011-01-07,60417.15
225992,2011-01-14,51638.4
225993,2011-01-21,57433.73
225994,2011-01-28,55800.46
225995,2011-02-04,58510.63
225996,2011-02-11,54980.64
225997,2011-02-18,56211.08
225998,2011-02-25,54441.54
225999,2011-03-04,65749.23
226000,2011-03-11,51412.21
226001,2011-03-18,57194.3
226002,2011-03-25,52654.0
226003,2011-04-01,55179.74
226004,2011-04-08,58435.98
226005,2011-04-15,51615.47
226006,2011-04-22,60338.08
226007,2011-04-29,47380.73
226008,2011-05-06,61889.9
226009,2011-05-13,49127.97
226010,2011-05-20,57847.54
226011,2011-05-27,57557.79
226012,2011-06-03,64396.98
226013,2011-06-10,59679.86
226014,2011-06-17,59331.92
226015,2011-06-24,58991.08
226016,2011-07-01,68160.44
226017,2011-07-08,57382.07
226018,2011-07-15,58845.0
226019,2011-07-22,57390.38
226020,2011-07-29,56368.24
226021,2011-08-05,67442.05
226022,2011-08-12,58398.13
226023,2011-08-19,58665.91
226024,2011-08-26,72937.54
226025,2011-09-02,72796.29
226026,2011-09-09,70297.55
226027,2011-09-16,62436.85
226028,2011-09-23,63214.94
226029,2011-09-30,67523.84
226030,2011-10-07,77023.06
226031,2011-10-14,65676.19
226032,2011-10-21,67472.06
226033,2011-10-28,67168.46
226034,2011-11-04,78533.69
226035,2011-11-11,79987.77
226036,2011-11-18,73044.05
226037,2011-11-25,68181.16
226038,2011-12-02,73528.07
226039,2011-12-09,76571.78
226040,2011-12-16,82799.16
226041,2011-12-23,85856.21
226042,2011-12-30,48964.91
226043,2012-01-06,64132.2
226044,2012-01-13,57268.61
226045,2012-01-20,65937.78
226046,2012-01-27,61672.56
226047,2012-02-03,73215.89
226048,2012-02-10,66528.16
226049,2012-02-17,65835.63
226050,2012-02-24,65785.82
226051,2012-03-02,72693.53
226052,2012-03-09,71300.52
226053,2012-03-16,62327.91
226054,2012-03-23,56961.17
226055,2012-03-30,60770.58
226056,2012-04-06,80479.9
226057,2012-04-13,61348.66
226058,2012-04-20,60781.29
226059,2012-04-27,66991.31
226060,2012-05-04,75405.32
226061,2012-05-11,67901.78
226062,2012-05-18,63017.21
226063,2012-05-25,69482.83
226064,2012-06-01,68899.57
226065,2012-06-08,74161.8
226066,2012-06-15,69841.57
226067,2012-06-22,66519.33
226068,2012-06-29,68388.31
226069,2012-07-06,72920.45
226070,2012-07-13,70374.95
226071,2012-07-20,66684.41
226072,2012-07-27,67613.79
226073,2012-08-03,77849.03
226074,2012-08-10,69209.6
226075,2012-08-17,69166.46
226076,2012-08-24,79159.68
226077,2012-08-31,76738.09
226078,2012-09-07,79356.92
226079,2012-09-14,67507.46
226080,2012-09-21,75923.74
226081,2012-09-28,72416.88
226082,2012-10-05,84597.36
226083,2012-10-12,77649.19
226084,2012-10-19,73797.27
226085,2012-10-26,73499.33
